word,translation,phonetic,type,example_en,example_cn,tags
additional,附加的，另外的,,adjective,We need additional information before making a decision.,在我们做决定之前，我们需要更多信息。,"附加词汇"
regarding,关于,,adjective,I am writing to you regarding your recent application.,我写信是关于你近期的申请的。,"附加词汇"
offer,提供,,noun/verb,The company offered her a great job.,公司提供给了她一份很棒的工作。,"附加词汇"
handpick,精选,,noun,She handpicked the best apples from the basket.,她从篮子里精挑细选了最好的苹果。,"附加词汇"
head,领导，带领,,noun,Who is going to head the new project?,谁将领导这个新项目？,"附加词汇"
experience,经验；经历,,noun,He has a lot of experience in marketing.,他在市场营销方面有很多经验。,"附加词汇"
field,领域；场地,,noun,She is an expert in the field of medicine.,她是医学领域的专家。,"附加词汇"
working conditions,工作条件,,phrase,Employees are demanding better working conditions.,员工们正在要求更好的工作条件。,"附加词汇"
result in,导致，引起,,verb phrase,Your hard work will result in success.,你的努力工作将会带来成功。,"附加词汇"
remarkable,显著的；值得注意的,,adjective,There has been a remarkable improvement in sales.,销售额有了显着的改善。,"附加词汇"
improvement,改进，改善,,noun,We need continuous improvement in our products.,我们需要对产品进行持续改进。,"附加词汇"
aspect,方面,,noun,We must consider every aspect of the plan.,我们必须考虑计划的每一个方面。,"附加词汇"
morale,士气，民心,,noun,The team victory boosted employee morale.,团队的胜利提升了员工的士气。,"附加词汇"
commuter,使用月、季票上下班者，通勤者,,noun,Thousands of commuters use this train daily.,每天有数千名通勤者乘坐这趟列车。,"附加词汇"
get to...,到达某地,,phrase,What time do you usually get to the office?,你通常几点到办公室？,"附加词汇"
delay,耽搁，延迟,,noun,The flight suffered a two-hour delay.,航班延误了两小时。,"附加词汇"
on-going,持续的；正在进行的,,adjective,This is an on-going research project.,这是一个正在进行的研究项目。,"附加词汇"
construction,建设,,noun,The new building is still under construction.,新大楼仍在建设中。,"附加词汇"
in order to do,为了做（某事）,,phrase,She studied hard in order to pass the exam.,为了通过考试，她努力学习。,"附加词汇"
applicant,申请者,,noun,All applicants must submit their resumes.,所有申请者必须提交简历。,"附加词汇"
meet the strict requirements,满足严格的要求,,phrase,Only a few candidates meet the strict requirements.,只有少数候选人满足严格的要求。,"附加词汇"
strict,严格的；严厉的,,adjective,The company has strict safety rules.,公司有严格的安全规则。,"附加词汇"
requirement,要求；需求,,noun,Good communication skills are a key requirement.,良好的沟通技巧是一项关键要求。,"附加词汇"
outcome,结果,,noun,We are waiting for the final outcome.,我们在等待最终结果。,"附加词汇"
determine,决定,,verb,The manager will determine the schedule.,经理将决定时间表。,"附加词汇"
the course of action,行动方针,,phrase,We need to decide on our course of action.,我们需要决定我们的行动方针。,"附加词汇"
announcement,宣布，宣告,,noun,The CEO made an important announcement.,首席执行官做了一个重要的宣告。,"附加词汇"
retirement,退休,,noun,He is planning his retirement next year.,他正计划明年的退休。,"附加词汇"
extremely,非常，很，极端地,,adverb,The test was extremely difficult.,这次测试极其困难。,"附加词汇"
leisure time,空闲时间,,noun,I like reading in my leisure time.,我喜欢在空闲时间读书。,"附加词汇"
warehouse,仓库,,noun,The goods are stored in the warehouse.,货物存放在仓库里。,"附加词汇"
be out sick,请病假,,phrase,John is out sick today.,约翰今天请病假了。,"附加词汇"
stock,备货；贮存,,noun,The store has a large stock of winter clothes.,这家店有大量的冬装存货。,"附加词汇"
goods,货物,,noun,They deliver goods all over the city.,他们向全城运送货物。,"附加词汇"
accept,接受,,verb,She decided to accept the job offer.,她决定接受这份工作邀请。,"附加词汇"
apology,道歉,,noun,We accept your sincere apology.,我们接受你诚挚的道歉。,"附加词汇"
inconvenience,不便；困难,,noun,We apologize for any inconvenience caused.,对于造成的不便，我们深表歉意。,"附加词汇"
cause,引起，使产生，成为…的原因,,noun/verb,Smoking can cause serious health problems.,吸烟会导致严重的健康问题。,"附加词汇"
majority,多数，大多数,,noun,The majority of workers voted for the strike.,大多数工人都投票支持罢工。,"附加词汇"
contract,合同,,noun,They signed a two-year contract.,他们签了一份两年的合同。,"附加词汇"
negotiation,谈判，磋商,,noun,The contract is currently under negotiation.,合同目前正在谈判中。,"附加词汇"
take place,发生,,phrase,The meeting will take place tomorrow.,会议将在明天举行。,"附加词汇"
handle,处理，操作,,verb,Can you handle this difficult task?,你能处理好这个困难的任务吗？,"附加词汇"
next to impossible,几乎不可能,,phrase,Completing this in an hour is next to impossible.,在一小时内完成这个几乎是不可能的。,"附加词汇"
reserve,预订,,verb,I would like to reserve a table for two.,我想预订一张双人桌。,"附加词汇"
respond,回答，响应,,verb,Please respond to my email as soon as possible.,请尽快回复我的电子邮件。,"附加词汇"
connect,连接；联系,,verb,This cable connects the printer to the computer.,这根电缆将打印机连接到电脑。,"附加词汇"
appoint,任命，指派；分配,,verb,She was appointed as the new director.,她被任命为新总监。,"附加词汇"
